Index,"Major area, region, country or area",Note,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
167,Greece,,300,0.73,0.67,1.39,1.37,0.83,0.71,0.34,0.27,0.18,0.16,0.47,0.49,0.44,0.39,0.34,0.30,0.26,0.22,0.21,0.20
168,Holy See,16,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Italy,,380,0.99,0.86,0.82,0.77,0.42,0.30,0.06,-0.03,0.06,0.09,0.15,0.17,0.19,0.24,0.30,0.34,0.38,0.39,0.38,0.35
170,Malta,,470,0.22,0.06,-0.07,-0.03,0.01,0.01,0.01,0.12,0.12,0.31,0.27,0.22,0.16,0.11,0.08,0.05,0.03,0.03,0.03,0.03
171,Montenegro,,499,3.97,3.83,3.66,3.48,3.27,3.04,2.79,2.53,2.10,1.85,1.21,0.29,0.29,0.32,0.34,0.36,0.37,0.37,0.36,0.34
172,Portugal,,620,1.10,1.18,1.06,1.02,0.99,0.96,1.14,1.12,1.29,1.25,1.12,1.03,0.94,0.82,0.70,0.60,0.50,0.42,0.40,0.38
173,San Marino,,674,1.27,1.21,2.13,1.89,3.57,2.56,1.67,0.47,0.28,0.38,0.12,0.01,0.02,0.03,0.04,0.05,0.05,0.05,0.05,0.05
174,Serbia,17,688,3.69,3.48,3.26,3.00,1.63,1.35,0.93,0.83,0.57,0.51,0.50,0.25,0.12,0.26,0.40,0.52,0.62,0.68,0.65,0.61
175,Slovenia,,705,3.57,3.38,2.83,2.60,2.71,2.51,0.63,0.32,0.09,0.05,-0.10,-0.18,-0.16,0.05,0.28,0.50,0.69,0.84,0.83,0.79
176,Spain,18,724,0.87,0.85,1.60,1.50,1.04,0.90,0.39,0.30,0.13,0.11,0.26,0.30,0.29,0.27,0.26,0.25,0.23,0.21,0.20,0.19
177,TFYR Macedonia,19,807,3.87,3.59,3.42,3.08,1.43,1.12,0.82,0.74,0.61,-0.35,-0.35,-0.19,0.04,0.26,0.47,0.65,0.69,0.65,0.61,0.57
178,Western Europe,,926,0.58,0.64,0.58,0.44,0.23,0.11,0.15,0.22,0.19,0.15,0.29,0.33,0.30,0.28,0.26,0.25,0.24,0.23,0.21,0.20
